NAMESPACE                       NAME                                                              READY   STATUS    RESTARTS        AGE     IP             NODE                NOMINATED NODE   READINESS GATES
ceph-csi                        ceph-csi-cephfs-nodeplugin-bgtvr                                  3/3     Running   0               2d2h    10.31.2.2      k8s-prod-worker-2   <none>           <none>
ceph-csi                        ceph-csi-cephfs-nodeplugin-g2cwg                                  3/3     Running   0               2d2h    10.31.0.2      k8s-prod-worker-0   <none>           <none>
ceph-csi                        ceph-csi-cephfs-nodeplugin-g5cxc                                  3/3     Running   0               2d17h   10.31.1.2      k8s-prod-worker-1   <none>           <none>
ceph-csi                        ceph-csi-cephfs-provisioner-9d8cd7966-4bb6c                       6/6     Running   0               2d2h    10.244.1.183   k8s-prod-worker-1   <none>           <none>
ceph-csi                        ceph-csi-cephfs-provisioner-9d8cd7966-8g565                       6/6     Running   0               2d2h    10.244.0.171   k8s-prod-worker-0   <none>           <none>
ceph-csi                        ceph-csi-cephfs-provisioner-9d8cd7966-qhtmt                       6/6     Running   0               2d2h    10.244.5.97    k8s-prod-worker-2   <none>           <none>
cert-manager                    cert-manager-6454c565c5-fsd68                                     1/1     Running   0               2d17h   10.244.0.155   k8s-prod-worker-0   <none>           <none>
cert-manager                    cert-manager-cainjector-7f45ffb9d5-vdnbj                          1/1     Running   0               2d17h   10.244.0.157   k8s-prod-worker-0   <none>           <none>
cert-manager                    cert-manager-webhook-7944648944-wvbsm                             1/1     Running   0               2d17h   10.244.0.156   k8s-prod-worker-0   <none>           <none>
cnpg-system                     cnpg-cloudnative-pg-5b778c6976-f9sbr                              1/1     Running   2 (5d5h ago)    5d7h    10.244.1.99    k8s-prod-worker-1   <none>           <none>
default                         authelia-6d9f59f685-x58ts                                         1/1     Running   0               2d21h   10.244.1.150   k8s-prod-worker-1   <none>           <none>
default                         cluster-authelia-ceph-1                                           1/1     Running   0               3d2h    10.244.0.124   k8s-prod-worker-0   <none>           <none>
default                         cluster-immich-1                                                  1/1     Running   0               5d5h    10.244.5.32    k8s-prod-worker-2   <none>           <none>
default                         inteldeviceplugins-controller-manager-7c4fbb66d8-wdm2s            1/1     Running   3 (5d5h ago)    5d7h    10.244.1.89    k8s-prod-worker-1   <none>           <none>
default                         lidarr-59dbcd56dc-jsppj                                           2/2     Running   0               13h     10.244.5.102   k8s-prod-worker-2   <none>           <none>
default                         mealie-75c5b4564f-z4tw5                                           1/1     Running   0               3d3h    10.244.0.106   k8s-prod-worker-0   <none>           <none>
default                         mealie-cnpg-main-1                                                1/1     Running   0               11d     10.244.1.29    k8s-prod-worker-1   <none>           <none>
default                         myrobertson-com-gateway-istio-6567568fd4-sklbf                    1/1     Running   0               5d7h    10.244.1.88    k8s-prod-worker-1   <none>           <none>
default                         overseerr-7756c84955-przcc                                        1/1     Running   0               2d8h    10.244.5.80    k8s-prod-worker-2   <none>           <none>
default                         prowlarr-659c4dc7dd-sr9n7                                         2/2     Running   0               14h     10.244.5.101   k8s-prod-worker-2   <none>           <none>
default                         radarr-5764d4dc79-t458t                                           2/2     Running   0               19h     10.244.5.99    k8s-prod-worker-2   <none>           <none>
default                         sonarr-5dfb66dcdc-bbpr2                                           2/2     Running   0               2d1h    10.244.5.98    k8s-prod-worker-2   <none>           <none>
external-dns                    external-dns-7df7df94db-gp8pd                                     1/1     Running   8 (5d6h ago)    5d7h    10.244.1.92    k8s-prod-worker-1   <none>           <none>
flux-system                     helm-controller-865dc55587-wrgfp                                  1/1     Running   1 (5d7h ago)    11d     10.244.5.252   k8s-prod-worker-2   <none>           <none>
flux-system                     kustomize-controller-75d9cf857b-6tb6h                             1/1     Running   0               5d7h    10.244.1.94    k8s-prod-worker-1   <none>           <none>
